# Tucano bright-star catalogue
#
# Curated subset of the Yale Bright Star Catalogue: the ~120 brightest stars, down to roughly
# magnitude 3.0. That is every star that carries a constellation's shape, which is what the eye
# actually reads in a night sky.
#
# To use a fuller catalogue, replace this file. Any text file in this format works — converting
# BSC5 (9,110 stars) or the HYG database to it is a few lines of script. The loader has no size
# limit; the renderer bins whatever it is given.
#
# Columns:
#   name          no spaces (underscores instead)
#   ra_hours      right ascension, J2000, in HOURS (0..24). 1h = 15 degrees.
#   dec_degrees   declination, J2000, in degrees (-90..+90)
#   v_mag         apparent visual magnitude. Lower is BRIGHTER; the naked-eye limit is ~6.5.
#   b_v           colour index. Negative = hot/blue, positive = cool/red.
#
# Positions are J2000 and rounded to about a thousandth of an hour / degree, which is far below
# one pixel at any playable field of view.
#
# name                ra_hours    dec_deg    v_mag   b_v
Sirius                  6.7525    -16.716    -1.46   0.00
Canopus                 6.3992    -52.696    -0.74   0.15
Rigil_Kentaurus        14.6600    -60.834    -0.27   0.71
Arcturus               14.2610     19.182    -0.05   1.23
Vega                   18.6156     38.784     0.03   0.00
Capella                 5.2782     45.998     0.08   0.80
Rigel                   5.2423     -8.202     0.13  -0.03
Procyon                 7.6550      5.225     0.34   0.42
Achernar                1.6286    -57.237     0.46  -0.16
Betelgeuse              5.9195      7.407     0.50   1.85
Hadar                  14.0637    -60.373     0.61  -0.23
Altair                 19.8464      8.868     0.77   0.22
Acrux                  12.4433    -63.099     0.77  -0.24
Aldebaran               4.5987     16.509     0.85   1.54
Spica                  13.4199    -11.161     0.97  -0.23
Antares                16.4901    -26.432     1.09   1.83
Pollux                  7.7553     28.026     1.14   1.00
Fomalhaut              22.9608    -29.622     1.16   0.09
Deneb                  20.6905     45.280     1.25   0.09
Mimosa                 12.7953    -59.689     1.25  -0.24
Regulus                10.1395     11.967     1.35  -0.11
Adhara                  6.9770    -28.972     1.50  -0.21
Castor                  7.5767     31.888     1.58   0.03
Shaula                 17.5601    -37.104     1.62  -0.22
Gacrux                 12.5194    -57.113     1.63   1.59
Bellatrix               5.4188      6.350     1.64  -0.22
Elnath                  5.4382     28.608     1.65  -0.13
Miaplacidus             9.2200    -69.717     1.67   0.07
Alnilam                 5.6036     -1.202     1.69  -0.18
Alnair                 22.1372    -46.961     1.74  -0.13
Alnitak                 5.6793     -1.943     1.77  -0.21
Alioth                 12.9005     55.960     1.77  -0.02
Dubhe                  11.0621     61.751     1.79   1.07
Mirfak                  3.4054     49.861     1.79   0.48
Wezen                   7.1399    -26.393     1.83   0.67
Kaus_Australis         18.4029    -34.385     1.85  -0.03
Sargas                 17.6222    -42.998     1.86   0.40
Avior                   8.3752    -59.509     1.86   1.20
Alkaid                 13.7923     49.313     1.86  -0.19
Menkalinan              5.9922     44.947     1.90   0.08
